Month,"Natural Gas Price, Wellhead","Natural Gas Price, Citygate","Natural Gas Price, Delivered to Consumers, Residential",Percentage of Residential Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Commercial",Percentage of Commercial Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Industrial",Percentage of Industrial Sector Consumption for Which Price Data Are Available,Natural Gas Transportation Sector Price,"Natural Gas Price, Electric Power Sector",Percentage of Electric Power Sector Consumption for Which Price Data Are Available
,(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent)
1976 January,0.54,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 February,0.54,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 March,0.54,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 April,0.55,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 May,0.55,Not Available,1.98,Not Available,1.64,Not Available,1.24,Not Available,Not Available,1.06,Not Available
1976 June,0.58,Not Available,1.98,Not Available,1.64,Not Available,1.24,Not Available,Not Available,1.06,Not Available
1976 July,0.58,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 August,0.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 September,0.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 October,0.62,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 November,0.63,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 December,0.64,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977 January,0.67,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977 February,0.71,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977 March,0.75,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977 April,0.77,Not Available,2.35,Not Available,2.04,Not Available,1.5,Not Available,Not Available,1.32,Not Available
1977 May,0.77,Not Available,2.35,Not Available,2.04,Not Available,1.5,Not Available,Not Available,1.32,Not Available
1977 June,0.82,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977 July,0.83,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977 August,0.82,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977 September,0.83,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977 October,0.84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977 November,0.83,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1977 December,0.84,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978 January,0.87,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978 February,0.88,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978 March,0.89,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978 April,0.88,Not Available,2.56,Not Available,2.23,Not Available,1.7,Not Available,Not Available,1.48,Not Available
1978 May,0.91,Not Available,2.56,Not Available,2.23,Not Available,1.7,Not Available,Not Available,1.48,Not Available
1978 June,0.91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978 July,0.89,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978 August,0.91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978 September,0.92,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978 October,0.92,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978 November,0.93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1978 December,0.96,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1979 January,1.02,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.55,Not Available
1979 February,1.05,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.65,Not Available
1979 March,1.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.69,Not Available
1979 April,1.11,Not Available,2.98,Not Available,2.73,Not Available,1.99,Not Available,Not Available,1.7,Not Available
1979 May,1.15,Not Available,2.98,Not Available,2.73,Not Available,1.99,Not Available,Not Available,1.82,Not Available
1979 June,1.17,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.84,Not Available
1979 July,1.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.84,Not Available
1979 August,1.24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.87,Not Available
1979 September,1.24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.89,Not Available
1979 October,1.28,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.96,Not Available
1979 November,1.29,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.87,Not Available
1979 December,1.31,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.9,Not Available
1980 January,1.37,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available
1980 February,1.42,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.1,Not Available
1980 March,1.46,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.13,Not Available
1980 April,1.51,Not Available,3.68,Not Available,3.39,Not Available,2.56,Not Available,Not Available,2.09,Not Available
1980 May,1.56,Not Available,3.68,Not Available,3.39,Not Available,2.56,Not Available,Not Available,2.17,Not Available
1980 June,1.57,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.15,Not Available
1980 July,1.64,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.36,Not Available
1980 August,1.64,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.45,Not Available
1980 September,1.69,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.45,Not Available
1980 October,1.71,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.52,Not Available
1980 November,1.76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.37,Not Available
1980 December,1.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.31,Not Available
1981 January,1.77,Not Available,3.94,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.51,Not Available
1981 February,1.81,Not Available,3.99,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.67,Not Available
1981 March,1.86,Not Available,4.06,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.71,Not Available
1981 April,1.93,Not Available,4.11,Not Available,4,Not Available,3.14,Not Available,Not Available,2.81,Not Available
1981 May,1.95,Not Available,4.29,Not Available,4,Not Available,3.14,Not Available,Not Available,2.92,Not Available
1981 June,1.95,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.95,Not Available
1981 July,2.01,Not Available,4.32,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.97,Not Available
1981 August,2.02,Not Available,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.99,Not Available
1981 September,2.08,Not Available,4.47,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.95,Not Available
1981 October,2.11,Not Available,4.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.07,Not Available
1981 November,2.15,Not Available,4.53,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.07,Not Available
1981 December,2.16,Not Available,4.55,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.97,Not Available
1982 January,2.23,Not Available,4.65,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.07,Not Available
1982 February,2.3,Not Available,4.69,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.18,Not Available
1982 March,2.35,Not Available,4.78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.25,Not Available
1982 April,2.4,Not Available,4.86,Not Available,4.82,Not Available,3.87,Not Available,Not Available,3.32,Not Available
1982 May,2.45,Not Available,5.17,Not Available,4.82,Not Available,3.87,Not Available,Not Available,3.42,Not Available
1982 June,2.45,Not Available,5.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.57,Not Available
1982 July,2.47,Not Available,5.23,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.69,Not Available
1982 August,2.53,Not Available,5.23,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.67,Not Available
1982 September,2.56,Not Available,5.41,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.67,Not Available
1982 October,2.6,Not Available,5.66,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.68,Not Available
1982 November,2.62,Not Available,5.68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.61,Not Available
1982 December,2.62,Not Available,5.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.64,Not Available
1983 January,2.66,Not Available,5.86,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.57,Not Available
1983 February,2.66,Not Available,5.87,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.41,Not Available
1983 March,2.58,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.45,Not Available
1983 April,2.53,Not Available,6.06,Not Available,5.59,Not Available,4.18,Not Available,Not Available,3.35,Not Available
1983 May,2.53,Not Available,6.22,Not Available,5.59,Not Available,4.18,Not Available,Not Available,3.55,Not Available
1983 June,2.59,Not Available,6.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.58,Not Available
1983 July,2.52,Not Available,6.21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.72,Not Available
1983 August,2.58,Not Available,6.18,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.75,Not Available
1983 September,2.67,Not Available,6.19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.7,Not Available
1983 October,2.58,3.97,6.7,Not Available,5.62,Not Available,Not Available,Not Available,Not Available,3.62,Not Available
1983 November,2.6,3.91,6.3,Not Available,5.67,Not Available,Not Available,Not Available,Not Available,3.54,Not Available
1983 December,2.61,3.88,5.94,Not Available,5.62,Not Available,Not Available,Not Available,Not Available,3.49,Not Available
1984 January,2.67,3.94,5.78,Not Available,5.49,Not Available,4.31,Not Available,Not Available,3.49,Not Available
1984 February,2.71,4.02,5.84,Not Available,5.54,Not Available,4.29,Not Available,Not Available,3.55,Not Available
1984 March,2.67,3.91,5.92,Not Available,5.57,Not Available,4.29,Not Available,Not Available,3.47,Not Available
1984 April,2.64,3.96,5.96,Not Available,5.52,Not Available,4.19,Not Available,Not Available,3.53,Not Available
1984 May,2.67,3.98,6.27,Not Available,5.6,Not Available,4.21,Not Available,Not Available,3.72,Not Available
1984 June,2.7,4.02,6.76,Not Available,5.67,Not Available,4.11,Not Available,Not Available,3.73,Not Available
1984 July,2.68,4.06,7.11,Not Available,5.6,Not Available,4.14,Not Available,Not Available,3.86,Not Available
1984 August,2.69,3.69,7.23,Not Available,5.47,Not Available,4.15,Not Available,Not Available,3.8,Not Available
1984 September,2.62,4.02,7.17,Not Available,5.53,Not Available,4.24,Not Available,Not Available,3.8,Not Available
1984 October,2.63,3.99,6.8,Not Available,5.54,Not Available,4.17,Not Available,Not Available,3.72,Not Available
1984 November,2.61,3.92,6.31,Not Available,5.56,Not Available,4.21,Not Available,Not Available,3.72,Not Available
1984 December,2.57,3.97,6.05,Not Available,5.6,Not Available,4.25,Not Available,Not Available,3.69,Not Available
1985 January,2.64,3.89,5.97,Not Available,5.62,Not Available,4.22,Not Available,Not Available,3.74,Not Available
1985 February,2.71,3.94,5.86,Not Available,5.53,Not Available,4.26,Not Available,Not Available,3.68,Not Available
1985 March,2.62,3.97,5.99,Not Available,5.59,Not Available,4.16,Not Available,Not Available,3.74,Not Available
1985 April,2.64,3.91,6.11,Not Available,5.65,Not Available,4.01,Not Available,Not Available,3.72,Not Available
1985 May,2.53,3.89,6.59,Not Available,5.59,Not Available,3.88,Not Available,Not Available,3.57,Not Available
1985 June,2.58,3.86,6.96,Not Available,5.65,Not Available,3.78,Not Available,Not Available,3.56,Not Available
1985 July,2.51,3.69,7.07,Not Available,5.44,Not Available,3.92,Not Available,Not Available,3.56,Not Available
1985 August,2.47,3.7,7.21,Not Available,5.42,Not Available,3.94,Not Available,Not Available,3.46,Not Available
1985 September,2.42,3.68,7.06,Not Available,5.37,Not Available,3.84,Not Available,Not Available,3.4,Not Available
1985 October,2.37,3.59,6.5,Not Available,5.3,Not Available,3.78,Not Available,Not Available,3.37,Not Available
1985 November,2.36,3.46,6.13,Not Available,5.39,Not Available,3.84,Not Available,Not Available,3.38,Not Available
1985 December,2.28,3.45,5.7,Not Available,5.25,Not Available,3.7,Not Available,Not Available,3.29,Not Available
1986 January,2.28,3.52,5.63,Not Available,5.25,Not Available,3.77,Not Available,Not Available,3.2,Not Available
1986 February,2.26,3.52,5.67,Not Available,5.28,Not Available,3.77,Not Available,Not Available,2.85,Not Available
1986 March,2.16,3.5,5.71,Not Available,5.25,Not Available,3.53,Not Available,Not Available,2.6,Not Available
1986 April,2.1,3.33,5.89,Not Available,5.23,Not Available,3.35,Not Available,Not Available,2.44,Not Available
1986 May,1.96,3.15,6.18,Not Available,5.19,Not Available,3.11,Not Available,Not Available,2.41,Not Available
1986 June,1.85,3.11,6.67,Not Available,5.09,Not Available,3.05,Not Available,Not Available,2.27,Not Available
1986 July,1.8,3.08,6.84,Not Available,5.02,Not Available,2.88,Not Available,Not Available,2.23,Not Available
1986 August,1.77,3.04,6.94,Not Available,4.9,Not Available,2.81,Not Available,Not Available,2.22,Not Available
